Customer ID,Category,Purchase Amount (USD),Review Rating,Discount Applied,Frequency of Purchases,Cluster
228,Clothing,90,4.2,Yes,Fortnightly,0
229,Clothing,79,2.9,Yes,Annually,0
230,Footwear,28,4.6,Yes,Every 3 Months,1
231,Accessories,88,4.1,Yes,Annually,0
232,Clothing,26,3.1,Yes,Every 3 Months,1
233,Accessories,27,4.2,Yes,Bi-Weekly,1
234,Clothing,83,4.5,Yes,Every 3 Months,0
235,Accessories,39,3.7,Yes,Weekly,1
236,Accessories,89,3.7,Yes,Quarterly,0
237,Outerwear,68,3.4,Yes,Fortnightly,2
238,Clothing,90,3.0,Yes,Fortnightly,0
239,Clothing,34,4.2,Yes,Annually,1
240,Clothing,51,2.9,Yes,Bi-Weekly,2
241,Clothing,45,3.5,Yes,Fortnightly,1
242,Clothing,88,4.1,Yes,Bi-Weekly,0
243,Outerwear,85,4.3,Yes,Every 3 Months,0
244,Accessories,100,2.8,Yes,Monthly,0
245,Accessories,42,4.9,Yes,Weekly,1
246,Footwear,53,3.3,Yes,Fortnightly,2
247,Accessories,86,3.2,Yes,Bi-Weekly,0
248,Clothing,66,4.4,Yes,Weekly,2
249,Accessories,100,4.8,Yes,Weekly,0
250,Accessories,47,4.2,Yes,Annually,2
251,Clothing,25,4.0,Yes,Weekly,1
252,Accessories,51,2.5,Yes,Annually,2
253,Clothing,41,3.9,Yes,Fortnightly,1
254,Footwear,73,4.9,Yes,Bi-Weekly,2
255,Accessories,42,3.5,Yes,Bi-Weekly,1
256,Accessories,20,4.2,Yes,Annually,1
257,Accessories,30,4.7,Yes,Every 3 Months,1
258,Accessories,53,4.5,Yes,Quarterly,2
259,Accessories,74,2.8,Yes,Quarterly,2
260,Clothing,57,2.9,Yes,Annually,2
261,Accessories,57,3.2,Yes,Every 3 Months,2
262,Clothing,77,4.9,Yes,Annually,0
263,Clothing,40,3.7,Yes,Annually,1
264,Clothing,46,4.3,Yes,Monthly,1
265,Clothing,78,3.9,Yes,Annually,0
266,Accessories,59,3.2,Yes,Bi-Weekly,2
267,Accessories,75,3.1,Yes,Weekly,0
268,Clothing,54,3.9,Yes,Annually,2
269,Footwear,42,2.6,Yes,Monthly,1
270,Clothing,44,3.3,Yes,Bi-Weekly,1
271,Clothing,52,4.6,Yes,Annually,2
272,Accessories,69,4.6,Yes,Fortnightly,2
273,Accessories,26,4.4,Yes,Bi-Weekly,1
274,Outerwear,33,4.2,Yes,Quarterly,1
275,Accessories,32,3.0,Yes,Bi-Weekly,1
276,Accessories,85,4.0,Yes,Weekly,0
277,Clothing,30,3.5,Yes,Fortnightly,1
278,Clothing,29,3.0,Yes,Bi-Weekly,1
279,Clothing,95,3.7,Yes,Annually,0
280,Footwear,69,4.0,Yes,Monthly,2
281,Footwear,69,4.2,Yes,Bi-Weekly,2
282,Accessories,61,2.5,Yes,Bi-Weekly,2
283,Clothing,94,3.0,Yes,Monthly,0
284,Clothing,30,3.2,Yes,Annually,1
285,Clothing,45,3.5,Yes,Quarterly,1
286,Accessories,39,4.8,Yes,Bi-Weekly,1
287,Accessories,51,2.6,Yes,Annually,2
288,Accessories,37,3.4,Yes,Fortnightly,1
289,Clothing,62,3.7,Yes,Bi-Weekly,2
290,Outerwear,85,4.5,Yes,Monthly,0
291,Clothing,33,3.7,Yes,Weekly,1
292,Clothing,26,3.3,Yes,Monthly,1
293,Footwear,99,4.7,Yes,Quarterly,0
294,Accessories,39,2.7,Yes,Annually,1
295,Clothing,20,4.6,Yes,Every 3 Months,1
296,Accessories,42,2.7,Yes,Quarterly,1
297,Footwear,74,4.8,Yes,Weekly,2
298,Footwear,26,4.4,Yes,Bi-Weekly,1
299,Clothing,53,4.0,Yes,Every 3 Months,2
300,Footwear,80,3.2,Yes,Fortnightly,0
301,Accessories,98,4.4,Yes,Weekly,0
302,Clothing,95,3.8,Yes,Every 3 Months,0
303,Clothing,44,3.6,Yes,Every 3 Months,1
304,Footwear,60,3.3,Yes,Weekly,2
305,Clothing,84,3.4,Yes,Bi-Weekly,0
306,Clothing,59,3.5,Yes,Annually,2
307,Outerwear,49,3.6,Yes,Annually,2
308,Accessories,32,3.2,Yes,Every 3 Months,1
309,Accessories,29,3.7,Yes,Bi-Weekly,1
310,Clothing,22,4.5,Yes,Fortnightly,1
311,Clothing,85,4.6,Yes,Fortnightly,0
312,Clothing,52,4.1,Yes,Monthly,2
313,Clothing,89,3.4,Yes,Annually,0
314,Clothing,77,3.7,Yes,Every 3 Months,0
315,Clothing,24,3.3,Yes,Every 3 Months,1
316,Accessories,24,4.5,Yes,Annually,1
317,Accessories,22,3.3,Yes,Monthly,1
318,Clothing,82,4.3,Yes,Every 3 Months,0
319,Accessories,67,2.5,Yes,Annually,2
320,Clothing,74,2.6,Yes,Every 3 Months,2
321,Accessories,72,4.9,Yes,Quarterly,2
322,Footwear,36,4.7,Yes,Quarterly,1
323,Accessories,95,3.0,Yes,Monthly,0
324,Clothing,78,3.5,Yes,Bi-Weekly,0
325,Clothing,82,4.8,Yes,Quarterly,0
326,Clothing,70,4.3,Yes,Annually,2
327,Accessories,41,3.2,Yes,Weekly,1
328,Outerwear,42,3.1,Yes,Weekly,1
329,Outerwear,50,2.8,Yes,Weekly,2
330,Clothing,31,2.9,Yes,Monthly,1
331,Clothing,51,3.7,Yes,Bi-Weekly,2
332,Clothing,98,3.3,Yes,Quarterly,0
333,Clothing,86,2.8,Yes,Monthly,0
334,Clothing,64,4.5,Yes,Bi-Weekly,2
335,Clothing,46,2.6,Yes,Annually,1
336,Clothing,85,3.7,Yes,Every 3 Months,0
337,Accessories,81,4.4,Yes,Annually,0
338,Clothing,59,4.3,Yes,Annually,2
339,Clothing,79,3.5,Yes,Weekly,0
340,Clothing,33,3.8,Yes,Every 3 Months,1
341,Clothing,47,3.5,Yes,Every 3 Months,2
342,Accessories,20,4.6,Yes,Bi-Weekly,1
343,Outerwear,36,2.6,Yes,Every 3 Months,1
344,Footwear,39,4.4,Yes,Monthly,1
345,Clothing,71,4.0,Yes,Monthly,2
346,Footwear,59,4.4,Yes,Annually,2
347,Clothing,50,4.7,Yes,Weekly,2
348,Footwear,41,3.9,Yes,Fortnightly,1
349,Clothing,59,2.7,Yes,Fortnightly,2
350,Accessories,87,3.7,Yes,Bi-Weekly,0
351,Clothing,68,2.6,Yes,Fortnightly,2
352,Clothing,90,3.9,Yes,Bi-Weekly,0
353,Clothing,71,4.9,Yes,Every 3 Months,2
354,Footwear,64,4.1,Yes,Monthly,2
355,Accessories,76,3.0,Yes,Weekly,0
356,Accessories,42,4.1,Yes,Every 3 Months,1
357,Clothing,80,3.8,Yes,Weekly,0
358,Accessories,56,4.0,Yes,Bi-Weekly,2
359,Accessories,25,3.6,Yes,Every 3 Months,1
360,Footwear,74,3.0,Yes,Every 3 Months,2
361,Clothing,30,3.0,Yes,Fortnightly,1
362,Clothing,96,2.6,Yes,Annually,0
363,Footwear,64,3.4,Yes,Fortnightly,2
364,Clothing,88,3.1,Yes,Fortnightly,0
365,Footwear,88,3.0,Yes,Every 3 Months,0
366,Accessories,88,3.7,Yes,Quarterly,0
367,Clothing,36,3.5,Yes,Fortnightly,1
368,Clothing,40,2.8,Yes,Monthly,1
369,Accessories,39,4.5,Yes,Monthly,1
370,Accessories,40,3.3,Yes,Quarterly,1
371,Accessories,34,3.4,Yes,Weekly,1
372,Footwear,83,3.2,Yes,Monthly,0
373,Clothing,85,3.7,Yes,Weekly,0
374,Outerwear,27,4.6,Yes,Bi-Weekly,1
375,Accessories,78,5.0,Yes,Monthly,0
376,Accessories,32,4.4,Yes,Quarterly,1
377,Footwear,51,4.9,Yes,Bi-Weekly,2
378,Accessories,32,4.1,Yes,Every 3 Months,1
379,Clothing,62,4.9,Yes,Monthly,2
380,Clothing,29,4.7,Yes,Bi-Weekly,1
381,Accessories,69,3.0,Yes,Weekly,2
382,Accessories,25,3.4,Yes,Every 3 Months,1
383,Clothing,76,3.2,Yes,Quarterly,0
384,Accessories,77,2.9,Yes,Quarterly,0
385,Clothing,33,4.5,Yes,Annually,1
386,Clothing,93,2.7,Yes,Bi-Weekly,0
387,Accessories,39,3.4,Yes,Quarterly,1
388,Outerwear,93,4.6,Yes,Fortnightly,0
389,Accessories,82,2.7,Yes,Quarterly,0
390,Footwear,42,4.2,Yes,Monthly,1
391,Accessories,71,3.2,Yes,Annually,2
392,Clothing,86,4.8,Yes,Fortnightly,0
393,Clothing,82,3.3,Yes,Annually,0
394,Footwear,65,4.2,Yes,Fortnightly,2
395,Accessories,29,4.8,Yes,Bi-Weekly,1
396,Footwear,65,4.9,Yes,Annually,2
397,Clothing,88,3.9,Yes,Annually,0
398,Accessories,46,3.0,Yes,Annually,1
399,Footwear,67,4.6,Yes,Every 3 Months,2
400,Accessories,35,3.5,Yes,Monthly,1
401,Footwear,66,4.8,Yes,Fortnightly,2
402,Clothing,91,4.8,Yes,Quarterly,0
403,Accessories,78,3.0,Yes,Monthly,0
404,Footwear,45,4.5,Yes,Annually,1
405,Clothing,93,4.8,Yes,Monthly,0
406,Clothing,74,3.8,Yes,Annually,2
407,Accessories,55,4.6,Yes,Monthly,2
408,Clothing,76,3.1,Yes,Bi-Weekly,0
409,Footwear,66,3.4,Yes,Fortnightly,2
410,Clothing,51,3.3,Yes,Monthly,2
411,Clothing,26,4.8,Yes,Quarterly,1
412,Clothing,29,2.8,Yes,Annually,1
413,Outerwear,74,3.1,Yes,Weekly,2
414,Accessories,99,4.6,Yes,Monthly,0
415,Accessories,88,2.6,Yes,Weekly,0
416,Outerwear,31,2.6,Yes,Monthly,1
417,Accessories,55,3.8,Yes,Fortnightly,2
418,Footwear,81,4.5,Yes,Quarterly,0
419,Clothing,73,3.0,Yes,Bi-Weekly,2
420,Clothing,91,3.5,Yes,Every 3 Months,0
421,Clothing,54,3.8,Yes,Bi-Weekly,2
422,Clothing,40,3.5,Yes,Bi-Weekly,1
423,Clothing,59,3.1,Yes,Annually,2
424,Accessories,26,3.0,Yes,Bi-Weekly,1
425,Clothing,23,4.3,Yes,Fortnightly,1
426,Clothing,87,3.3,Yes,Quarterly,0
427,Clothing,71,4.7,Yes,Quarterly,2
428,Accessories,91,4.5,Yes,Quarterly,0
429,Outerwear,64,2.9,Yes,Fortnightly,2
430,Footwear,94,4.1,Yes,Fortnightly,0
431,Clothing,40,3.5,Yes,Annually,1
432,Accessories,76,3.4,Yes,Fortnightly,0
433,Clothing,86,3.3,Yes,Weekly,0
434,Clothing,92,3.2,Yes,Fortnightly,0
435,Footwear,52,4.0,Yes,Every 3 Months,2
436,Outerwear,28,3.6,Yes,Monthly,1
437,Clothing,46,4.6,Yes,Weekly,1
438,Accessories,50,2.6,Yes,Annually,2
439,Accessories,23,4.3,Yes,Fortnightly,1
440,Outerwear,50,3.4,Yes,Monthly,2
441,Clothing,89,3.5,Yes,Fortnightly,0
442,Clothing,81,4.2,Yes,Annually,0
443,Accessories,69,3.5,Yes,Quarterly,2
444,Accessories,67,3.6,Yes,Annually,2
445,Clothing,20,4.3,Yes,Annually,1
446,Footwear,29,4.9,Yes,Annually,1
447,Clothing,74,4.1,Yes,Monthly,2
448,Clothing,82,3.6,Yes,Every 3 Months,0
449,Accessories,23,3.4,Yes,Fortnightly,1
450,Accessories,45,2.9,Yes,Monthly,1
451,Footwear,21,2.7,Yes,Monthly,1
452,Accessories,31,4.3,Yes,Fortnightly,1
453,Clothing,45,3.3,Yes,Fortnightly,1
454,Accessories,56,2.8,Yes,Weekly,2
455,Outerwear,97,3.2,Yes,Bi-Weekly,0
456,Clothing,100,3.6,Yes,Fortnightly,0
457,Clothing,96,4.0,Yes,Quarterly,0
458,Accessories,99,4.9,Yes,Every 3 Months,0
459,Clothing,91,4.0,Yes,Monthly,0
460,Accessories,30,3.8,Yes,Fortnightly,1
461,Footwear,65,3.7,Yes,Weekly,2
462,Footwear,93,3.9,Yes,Weekly,0
463,Outerwear,81,3.3,Yes,Every 3 Months,0
464,Accessories,81,2.7,Yes,Weekly,0
465,Accessories,52,4.7,Yes,Monthly,2
466,Clothing,88,2.8,Yes,Quarterly,0
467,Clothing,24,4.6,Yes,Weekly,1
468,Accessories,51,4.5,Yes,Every 3 Months,2
469,Accessories,38,5.0,Yes,Quarterly,1
470,Clothing,46,4.1,Yes,Bi-Weekly,1
471,Clothing,63,4.6,Yes,Every 3 Months,2
472,Accessories,72,4.9,Yes,Quarterly,2
473,Clothing,39,3.9,Yes,Quarterly,1
474,Outerwear,42,3.9,Yes,Every 3 Months,1
475,Clothing,76,2.6,Yes,Quarterly,0
476,Footwear,66,2.7,Yes,Annually,2
477,Accessories,90,3.5,Yes,Fortnightly,0
478,Clothing,56,3.7,Yes,Weekly,2
479,Accessories,43,3.2,Yes,Annually,1
480,Accessories,84,3.3,Yes,Monthly,0
481,Clothing,88,4.8,Yes,Bi-Weekly,0
482,Accessories,88,3.2,Yes,Fortnightly,0
483,Accessories,42,2.5,Yes,Annually,1
484,Clothing,73,3.9,Yes,Weekly,2
485,Accessories,73,4.7,Yes,Quarterly,2
486,Footwear,44,2.6,Yes,Fortnightly,1
487,Footwear,63,2.8,Yes,Every 3 Months,2
488,Outerwear,68,4.4,Yes,Quarterly,2
489,Clothing,29,4.6,Yes,Weekly,1
490,Clothing,85,3.2,Yes,Annually,0
491,Footwear,42,4.2,Yes,Monthly,1
492,Outerwear,69,3.7,Yes,Bi-Weekly,2
493,Clothing,62,3.9,Yes,Weekly,2
494,Accessories,48,4.7,Yes,Bi-Weekly,2
495,Footwear,68,4.5,Yes,Weekly,2
496,Accessories,36,3.3,Yes,Fortnightly,1
497,Clothing,63,3.3,Yes,Fortnightly,2
498,Footwear,39,4.6,Yes,Weekly,1
499,Footwear,78,3.6,Yes,Monthly,0
500,Footwear,99,4.8,Yes,Monthly,0
501,Clothing,31,4.8,Yes,Every 3 Months,1
502,Footwear,45,2.9,Yes,Annually,1
503,Clothing,30,2.8,Yes,Fortnightly,1
504,Footwear,24,3.2,Yes,Quarterly,1
505,Footwear,22,3.9,Yes,Annually,1
506,Clothing,63,4.3,Yes,Bi-Weekly,2
507,Accessories,40,2.7,Yes,Annually,1
508,Clothing,20,5.0,Yes,Fortnightly,1
509,Accessories,20,3.7,Yes,Quarterly,1
510,Clothing,80,3.9,Yes,Weekly,0
511,Clothing,87,3.9,Yes,Annually,0
512,Clothing,46,3.1,Yes,Annually,1
513,Accessories,49,3.3,Yes,Monthly,2
514,Accessories,65,3.6,Yes,Annually,2
515,Clothing,62,4.3,Yes,Quarterly,2
516,Accessories,67,4.5,Yes,Monthly,2
517,Clothing,41,2.8,Yes,Bi-Weekly,1
518,Footwear,49,2.7,Yes,Every 3 Months,2
519,Clothing,100,2.9,Yes,Every 3 Months,0
520,Accessories,54,4.4,Yes,Quarterly,2
521,Accessories,84,3.9,Yes,Quarterly,0
522,Clothing,41,3.5,Yes,Annually,1
523,Accessories,88,2.5,Yes,Quarterly,0
524,Footwear,40,4.9,Yes,Quarterly,1
525,Clothing,39,4.8,Yes,Annually,1
526,Outerwear,37,3.2,Yes,Monthly,1
527,Clothing,52,4.9,Yes,Monthly,2
528,Clothing,23,4.3,Yes,Every 3 Months,1
529,Footwear,88,3.2,Yes,Annually,0
530,Clothing,84,3.7,Yes,Monthly,0
531,Outerwear,37,3.2,Yes,Bi-Weekly,1
532,Footwear,51,3.4,Yes,Weekly,2
533,Clothing,76,4.1,Yes,Every 3 Months,0
534,Footwear,60,4.5,Yes,Weekly,2
535,Accessories,72,4.5,Yes,Quarterly,2
536,Clothing,45,3.2,Yes,Weekly,1
537,Outerwear,84,4.4,Yes,Every 3 Months,0
538,Clothing,49,3.0,Yes,Annually,2
539,Clothing,22,3.2,Yes,Weekly,1
540,Outerwear,48,4.0,Yes,Weekly,2
541,Clothing,37,3.1,Yes,Every 3 Months,1
542,Outerwear,27,2.8,Yes,Bi-Weekly,1
543,Footwear,79,4.6,Yes,Bi-Weekly,0
544,Clothing,98,4.3,Yes,Monthly,0
545,Footwear,64,3.3,Yes,Every 3 Months,2
546,Outerwear,32,3.5,Yes,Annually,1
547,Clothing,74,3.4,Yes,Bi-Weekly,2
548,Outerwear,50,2.8,Yes,Weekly,2
549,Accessories,64,4.6,Yes,Every 3 Months,2
