Customer ID,Category,Purchase Amount (USD),Review Rating,Discount Applied,Frequency of Purchases
93,Outerwear,87,4.4,Yes,Every 3 Months
94,Clothing,62,4.5,Yes,Weekly
95,Clothing,76,4.6,Yes,Weekly
96,Footwear,100,3.8,Yes,Monthly
97,Accessories,73,3.6,Yes,Every 3 Months
98,Footwear,92,4.8,Yes,Annually
99,Clothing,67,2.6,Yes,Annually
100,Clothing,40,3.7,Yes,Quarterly
101,Accessories,98,2.7,Yes,Fortnightly
102,Outerwear,85,4.6,Yes,Bi-Weekly
103,Clothing,67,4.8,Yes,Quarterly
104,Footwear,89,4.0,Yes,Bi-Weekly
105,Accessories,24,4.4,Yes,Monthly
106,Accessories,96,3.6,Yes,Annually
107,Outerwear,35,3.7,Yes,Monthly
108,Footwear,67,3.1,Yes,Fortnightly
109,Clothing,79,3.4,Yes,Bi-Weekly
110,Clothing,85,2.6,Yes,Fortnightly
111,Accessories,26,4.0,Yes,Fortnightly
112,Accessories,75,5.0,Yes,Annually
113,Accessories,65,4.3,Yes,Bi-Weekly
114,Accessories,54,3.1,Yes,Quarterly
115,Outerwear,95,3.7,Yes,Weekly
116,Clothing,94,3.8,Yes,Every 3 Months
117,Footwear,86,3.4,Yes,Annually
118,Footwear,32,4.6,Yes,Fortnightly
119,Clothing,45,4.8,Yes,Bi-Weekly
120,Outerwear,76,4.3,Yes,Annually
121,Accessories,84,4.0,Yes,Annually
122,Clothing,72,4.2,Yes,Fortnightly
123,Accessories,40,4.8,Yes,Fortnightly
124,Clothing,89,3.1,Yes,Weekly
125,Clothing,86,3.1,Yes,Annually
126,Clothing,54,3.6,Yes,Every 3 Months
127,Clothing,36,3.9,Yes,Every 3 Months
128,Clothing,89,4.8,Yes,Weekly
129,Accessories,32,4.7,Yes,Fortnightly
130,Clothing,67,4.2,Yes,Bi-Weekly
131,Accessories,39,3.7,Yes,Fortnightly
132,Clothing,29,3.9,Yes,Weekly
133,Accessories,58,4.7,Yes,Weekly
134,Clothing,65,2.5,Yes,Annually
135,Accessories,94,4.9,Yes,Monthly
136,Footwear,81,4.1,Yes,Quarterly
137,Clothing,86,3.3,Yes,Quarterly
138,Footwear,43,4.7,Yes,Weekly
139,Clothing,29,4.4,Yes,Weekly
140,Outerwear,95,3.8,Yes,Annually
141,Clothing,28,3.9,Yes,Weekly
142,Accessories,46,4.9,Yes,Weekly
143,Outerwear,58,3.1,Yes,Fortnightly
144,Outerwear,48,2.7,Yes,Quarterly
145,Footwear,43,3.2,Yes,Monthly
146,Accessories,95,4.5,Yes,Quarterly
147,Clothing,30,4.0,Yes,Fortnightly
148,Footwear,64,3.5,Yes,Fortnightly
149,Accessories,90,2.6,Yes,Annually
150,Clothing,76,3.2,Yes,Monthly
151,Footwear,96,4.9,Yes,Every 3 Months
152,Accessories,47,4.5,Yes,Annually
153,Clothing,85,4.3,Yes,Annually
154,Clothing,55,3.2,Yes,Annually
155,Clothing,98,3.6,Yes,Quarterly
156,Clothing,77,4.3,Yes,Quarterly
157,Clothing,26,4.0,Yes,Annually
158,Accessories,68,3.0,Yes,Fortnightly
159,Clothing,73,4.1,Yes,Monthly
160,Accessories,27,3.8,Yes,Every 3 Months
161,Accessories,23,4.6,Yes,Monthly
162,Accessories,49,3.0,Yes,Fortnightly
163,Accessories,74,3.0,Yes,Bi-Weekly
164,Clothing,67,3.4,Yes,Weekly
165,Accessories,65,2.6,Yes,Fortnightly
166,Accessories,60,2.8,Yes,Monthly
167,Footwear,31,4.0,Yes,Monthly
168,Accessories,27,4.0,Yes,Every 3 Months
169,Footwear,80,3.0,Yes,Fortnightly
170,Outerwear,30,3.3,Yes,Every 3 Months
171,Clothing,25,2.6,Yes,Bi-Weekly
172,Clothing,35,3.6,Yes,Weekly
173,Accessories,67,3.9,Yes,Bi-Weekly
174,Accessories,46,3.4,Yes,Annually
175,Footwear,35,3.5,Yes,Annually
176,Outerwear,86,2.8,Yes,Annually
177,Accessories,81,2.7,Yes,Quarterly
178,Clothing,42,3.7,Yes,Monthly
179,Clothing,43,4.3,Yes,Quarterly
180,Footwear,31,4.9,Yes,Fortnightly
181,Footwear,81,3.3,Yes,Fortnightly
182,Clothing,61,4.7,Yes,Weekly
183,Accessories,96,2.8,Yes,Annually
184,Clothing,29,3.6,Yes,Weekly
185,Footwear,33,3.0,Yes,Fortnightly
186,Clothing,32,4.5,Yes,Fortnightly
187,Accessories,56,2.9,Yes,Annually
188,Footwear,94,3.3,Yes,Bi-Weekly
189,Clothing,53,3.1,Yes,Bi-Weekly
190,Clothing,82,4.4,Yes,Weekly
191,Outerwear,70,3.0,Yes,Quarterly
192,Accessories,76,3.9,Yes,Every 3 Months
193,Footwear,29,2.9,Yes,Bi-Weekly
194,Accessories,100,3.0,Yes,Annually
195,Accessories,94,3.1,Yes,Quarterly
196,Outerwear,25,4.3,Yes,Monthly
197,Footwear,88,3.9,Yes,Fortnightly
198,Accessories,78,3.2,Yes,Monthly
199,Accessories,45,4.8,Yes,Fortnightly
200,Accessories,73,3.8,Yes,Weekly
201,Clothing,61,3.3,Yes,Monthly
202,Clothing,22,4.3,Yes,Annually
203,Accessories,38,2.7,Yes,Annually
204,Accessories,38,3.2,Yes,Weekly
205,Footwear,100,4.0,Yes,Bi-Weekly
206,Clothing,64,3.0,Yes,Weekly
207,Clothing,55,4.2,Yes,Fortnightly
208,Accessories,91,2.9,Yes,Bi-Weekly
209,Clothing,38,4.1,Yes,Monthly
210,Footwear,97,3.2,Yes,Every 3 Months
211,Outerwear,22,3.0,Yes,Fortnightly
212,Clothing,92,4.2,Yes,Fortnightly
213,Accessories,84,4.2,Yes,Annually
214,Accessories,93,4.4,Yes,Every 3 Months
215,Outerwear,50,4.2,Yes,Every 3 Months
216,Accessories,64,2.8,Yes,Bi-Weekly
217,Clothing,61,3.7,Yes,Weekly
218,Accessories,48,3.5,Yes,Annually
219,Clothing,45,2.9,Yes,Quarterly
220,Accessories,88,3.0,Yes,Fortnightly
221,Footwear,57,3.7,Yes,Fortnightly
222,Accessories,68,4.4,Yes,Quarterly
223,Accessories,94,4.5,Yes,Fortnightly
224,Clothing,41,4.8,Yes,Annually
225,Clothing,83,2.9,Yes,Every 3 Months
226,Outerwear,22,3.2,Yes,Annually
227,Footwear,74,3.3,Yes,Monthly
228,Clothing,90,4.2,Yes,Fortnightly
229,Clothing,79,2.9,Yes,Annually
230,Footwear,28,4.6,Yes,Every 3 Months
231,Accessories,88,4.1,Yes,Annually
232,Clothing,26,3.1,Yes,Every 3 Months
233,Accessories,27,4.2,Yes,Bi-Weekly
234,Clothing,83,4.5,Yes,Every 3 Months
235,Accessories,39,3.7,Yes,Weekly
236,Accessories,89,3.7,Yes,Quarterly
237,Outerwear,68,3.4,Yes,Fortnightly
238,Clothing,90,3.0,Yes,Fortnightly
239,Clothing,34,4.2,Yes,Annually
240,Clothing,51,2.9,Yes,Bi-Weekly
241,Clothing,45,3.5,Yes,Fortnightly
242,Clothing,88,4.1,Yes,Bi-Weekly
243,Outerwear,85,4.3,Yes,Every 3 Months
244,Accessories,100,2.8,Yes,Monthly
245,Accessories,42,4.9,Yes,Weekly
246,Footwear,53,3.3,Yes,Fortnightly
247,Accessories,86,3.2,Yes,Bi-Weekly
248,Clothing,66,4.4,Yes,Weekly
249,Accessories,100,4.8,Yes,Weekly
250,Accessories,47,4.2,Yes,Annually
251,Clothing,25,4.0,Yes,Weekly
252,Accessories,51,2.5,Yes,Annually
253,Clothing,41,3.9,Yes,Fortnightly
254,Footwear,73,4.9,Yes,Bi-Weekly
255,Accessories,42,3.5,Yes,Bi-Weekly
256,Accessories,20,4.2,Yes,Annually
257,Accessories,30,4.7,Yes,Every 3 Months
258,Accessories,53,4.5,Yes,Quarterly
259,Accessories,74,2.8,Yes,Quarterly
260,Clothing,57,2.9,Yes,Annually
261,Accessories,57,3.2,Yes,Every 3 Months
262,Clothing,77,4.9,Yes,Annually
263,Clothing,40,3.7,Yes,Annually
264,Clothing,46,4.3,Yes,Monthly
265,Clothing,78,3.9,Yes,Annually
266,Accessories,59,3.2,Yes,Bi-Weekly
267,Accessories,75,3.1,Yes,Weekly
268,Clothing,54,3.9,Yes,Annually
269,Footwear,42,2.6,Yes,Monthly
270,Clothing,44,3.3,Yes,Bi-Weekly
271,Clothing,52,4.6,Yes,Annually
272,Accessories,69,4.6,Yes,Fortnightly
273,Accessories,26,4.4,Yes,Bi-Weekly
274,Outerwear,33,4.2,Yes,Quarterly
275,Accessories,32,3.0,Yes,Bi-Weekly
276,Accessories,85,4.0,Yes,Weekly
277,Clothing,30,3.5,Yes,Fortnightly
278,Clothing,29,3.0,Yes,Bi-Weekly
279,Clothing,95,3.7,Yes,Annually
280,Footwear,69,4.0,Yes,Monthly
281,Footwear,69,4.2,Yes,Bi-Weekly
282,Accessories,61,2.5,Yes,Bi-Weekly
283,Clothing,94,3.0,Yes,Monthly
284,Clothing,30,3.2,Yes,Annually
285,Clothing,45,3.5,Yes,Quarterly
286,Accessories,39,4.8,Yes,Bi-Weekly
287,Accessories,51,2.6,Yes,Annually
288,Accessories,37,3.4,Yes,Fortnightly
289,Clothing,62,3.7,Yes,Bi-Weekly
290,Outerwear,85,4.5,Yes,Monthly
291,Clothing,33,3.7,Yes,Weekly
292,Clothing,26,3.3,Yes,Monthly
293,Footwear,99,4.7,Yes,Quarterly
294,Accessories,39,2.7,Yes,Annually
295,Clothing,20,4.6,Yes,Every 3 Months
296,Accessories,42,2.7,Yes,Quarterly
297,Footwear,74,4.8,Yes,Weekly
298,Footwear,26,4.4,Yes,Bi-Weekly
299,Clothing,53,4.0,Yes,Every 3 Months
300,Footwear,80,3.2,Yes,Fortnightly
301,Accessories,98,4.4,Yes,Weekly
302,Clothing,95,3.8,Yes,Every 3 Months
303,Clothing,44,3.6,Yes,Every 3 Months
304,Footwear,60,3.3,Yes,Weekly
305,Clothing,84,3.4,Yes,Bi-Weekly
306,Clothing,59,3.5,Yes,Annually
307,Outerwear,49,3.6,Yes,Annually
308,Accessories,32,3.2,Yes,Every 3 Months
309,Accessories,29,3.7,Yes,Bi-Weekly
310,Clothing,22,4.5,Yes,Fortnightly
311,Clothing,85,4.6,Yes,Fortnightly
312,Clothing,52,4.1,Yes,Monthly
313,Clothing,89,3.4,Yes,Annually
314,Clothing,77,3.7,Yes,Every 3 Months
315,Clothing,24,3.3,Yes,Every 3 Months
316,Accessories,24,4.5,Yes,Annually
317,Accessories,22,3.3,Yes,Monthly
318,Clothing,82,4.3,Yes,Every 3 Months
319,Accessories,67,2.5,Yes,Annually
320,Clothing,74,2.6,Yes,Every 3 Months
321,Accessories,72,4.9,Yes,Quarterly
322,Footwear,36,4.7,Yes,Quarterly
323,Accessories,95,3.0,Yes,Monthly
324,Clothing,78,3.5,Yes,Bi-Weekly
325,Clothing,82,4.8,Yes,Quarterly
326,Clothing,70,4.3,Yes,Annually
327,Accessories,41,3.2,Yes,Weekly
328,Outerwear,42,3.1,Yes,Weekly
329,Outerwear,50,2.8,Yes,Weekly
330,Clothing,31,2.9,Yes,Monthly
331,Clothing,51,3.7,Yes,Bi-Weekly
332,Clothing,98,3.3,Yes,Quarterly
333,Clothing,86,2.8,Yes,Monthly
334,Clothing,64,4.5,Yes,Bi-Weekly
335,Clothing,46,2.6,Yes,Annually
336,Clothing,85,3.7,Yes,Every 3 Months
337,Accessories,81,4.4,Yes,Annually
338,Clothing,59,4.3,Yes,Annually
339,Clothing,79,3.5,Yes,Weekly
340,Clothing,33,3.8,Yes,Every 3 Months
341,Clothing,47,3.5,Yes,Every 3 Months
342,Accessories,20,4.6,Yes,Bi-Weekly
343,Outerwear,36,2.6,Yes,Every 3 Months
344,Footwear,39,4.4,Yes,Monthly
345,Clothing,71,4.0,Yes,Monthly
346,Footwear,59,4.4,Yes,Annually
347,Clothing,50,4.7,Yes,Weekly
348,Footwear,41,3.9,Yes,Fortnightly
349,Clothing,59,2.7,Yes,Fortnightly
350,Accessories,87,3.7,Yes,Bi-Weekly
351,Clothing,68,2.6,Yes,Fortnightly
352,Clothing,90,3.9,Yes,Bi-Weekly
353,Clothing,71,4.9,Yes,Every 3 Months
354,Footwear,64,4.1,Yes,Monthly
355,Accessories,76,3.0,Yes,Weekly
356,Accessories,42,4.1,Yes,Every 3 Months
357,Clothing,80,3.8,Yes,Weekly
358,Accessories,56,4.0,Yes,Bi-Weekly
359,Accessories,25,3.6,Yes,Every 3 Months
360,Footwear,74,3.0,Yes,Every 3 Months
361,Clothing,30,3.0,Yes,Fortnightly
362,Clothing,96,2.6,Yes,Annually
363,Footwear,64,3.4,Yes,Fortnightly
364,Clothing,88,3.1,Yes,Fortnightly
365,Footwear,88,3.0,Yes,Every 3 Months
366,Accessories,88,3.7,Yes,Quarterly
367,Clothing,36,3.5,Yes,Fortnightly
368,Clothing,40,2.8,Yes,Monthly
369,Accessories,39,4.5,Yes,Monthly
370,Accessories,40,3.3,Yes,Quarterly
371,Accessories,34,3.4,Yes,Weekly
372,Footwear,83,3.2,Yes,Monthly
373,Clothing,85,3.7,Yes,Weekly
374,Outerwear,27,4.6,Yes,Bi-Weekly
375,Accessories,78,5.0,Yes,Monthly
376,Accessories,32,4.4,Yes,Quarterly
377,Footwear,51,4.9,Yes,Bi-Weekly
378,Accessories,32,4.1,Yes,Every 3 Months
379,Clothing,62,4.9,Yes,Monthly
380,Clothing,29,4.7,Yes,Bi-Weekly
381,Accessories,69,3.0,Yes,Weekly
382,Accessories,25,3.4,Yes,Every 3 Months
383,Clothing,76,3.2,Yes,Quarterly
384,Accessories,77,2.9,Yes,Quarterly
385,Clothing,33,4.5,Yes,Annually
386,Clothing,93,2.7,Yes,Bi-Weekly
387,Accessories,39,3.4,Yes,Quarterly
388,Outerwear,93,4.6,Yes,Fortnightly
389,Accessories,82,2.7,Yes,Quarterly
390,Footwear,42,4.2,Yes,Monthly
391,Accessories,71,3.2,Yes,Annually
392,Clothing,86,4.8,Yes,Fortnightly
393,Clothing,82,3.3,Yes,Annually
394,Footwear,65,4.2,Yes,Fortnightly
395,Accessories,29,4.8,Yes,Bi-Weekly
396,Footwear,65,4.9,Yes,Annually
397,Clothing,88,3.9,Yes,Annually
398,Accessories,46,3.0,Yes,Annually
399,Footwear,67,4.6,Yes,Every 3 Months
400,Accessories,35,3.5,Yes,Monthly
401,Footwear,66,4.8,Yes,Fortnightly
402,Clothing,91,4.8,Yes,Quarterly
403,Accessories,78,3.0,Yes,Monthly
404,Footwear,45,4.5,Yes,Annually
405,Clothing,93,4.8,Yes,Monthly
406,Clothing,74,3.8,Yes,Annually
407,Accessories,55,4.6,Yes,Monthly
408,Clothing,76,3.1,Yes,Bi-Weekly
409,Footwear,66,3.4,Yes,Fortnightly
410,Clothing,51,3.3,Yes,Monthly
411,Clothing,26,4.8,Yes,Quarterly
412,Clothing,29,2.8,Yes,Annually
413,Outerwear,74,3.1,Yes,Weekly
414,Accessories,99,4.6,Yes,Monthly
415,Accessories,88,2.6,Yes,Weekly
416,Outerwear,31,2.6,Yes,Monthly
417,Accessories,55,3.8,Yes,Fortnightly
418,Footwear,81,4.5,Yes,Quarterly
419,Clothing,73,3.0,Yes,Bi-Weekly
420,Clothing,91,3.5,Yes,Every 3 Months
421,Clothing,54,3.8,Yes,Bi-Weekly
422,Clothing,40,3.5,Yes,Bi-Weekly
423,Clothing,59,3.1,Yes,Annually
424,Accessories,26,3.0,Yes,Bi-Weekly
425,Clothing,23,4.3,Yes,Fortnightly
426,Clothing,87,3.3,Yes,Quarterly
427,Clothing,71,4.7,Yes,Quarterly
428,Accessories,91,4.5,Yes,Quarterly
429,Outerwear,64,2.9,Yes,Fortnightly
430,Footwear,94,4.1,Yes,Fortnightly
431,Clothing,40,3.5,Yes,Annually
432,Accessories,76,3.4,Yes,Fortnightly
433,Clothing,86,3.3,Yes,Weekly
434,Clothing,92,3.2,Yes,Fortnightly
435,Footwear,52,4.0,Yes,Every 3 Months
436,Outerwear,28,3.6,Yes,Monthly
437,Clothing,46,4.6,Yes,Weekly
438,Accessories,50,2.6,Yes,Annually
439,Accessories,23,4.3,Yes,Fortnightly
440,Outerwear,50,3.4,Yes,Monthly
441,Clothing,89,3.5,Yes,Fortnightly
442,Clothing,81,4.2,Yes,Annually
443,Accessories,69,3.5,Yes,Quarterly
444,Accessories,67,3.6,Yes,Annually
445,Clothing,20,4.3,Yes,Annually
446,Footwear,29,4.9,Yes,Annually
447,Clothing,74,4.1,Yes,Monthly
448,Clothing,82,3.6,Yes,Every 3 Months
449,Accessories,23,3.4,Yes,Fortnightly
450,Accessories,45,2.9,Yes,Monthly
451,Footwear,21,2.7,Yes,Monthly
452,Accessories,31,4.3,Yes,Fortnightly
453,Clothing,45,3.3,Yes,Fortnightly
454,Accessories,56,2.8,Yes,Weekly
455,Outerwear,97,3.2,Yes,Bi-Weekly
456,Clothing,100,3.6,Yes,Fortnightly
457,Clothing,96,4.0,Yes,Quarterly
458,Accessories,99,4.9,Yes,Every 3 Months
459,Clothing,91,4.0,Yes,Monthly
460,Accessories,30,3.8,Yes,Fortnightly
461,Footwear,65,3.7,Yes,Weekly
462,Footwear,93,3.9,Yes,Weekly
463,Outerwear,81,3.3,Yes,Every 3 Months
464,Accessories,81,2.7,Yes,Weekly
465,Accessories,52,4.7,Yes,Monthly
466,Clothing,88,2.8,Yes,Quarterly
467,Clothing,24,4.6,Yes,Weekly
468,Accessories,51,4.5,Yes,Every 3 Months
469,Accessories,38,5.0,Yes,Quarterly
470,Clothing,46,4.1,Yes,Bi-Weekly
471,Clothing,63,4.6,Yes,Every 3 Months
472,Accessories,72,4.9,Yes,Quarterly
473,Clothing,39,3.9,Yes,Quarterly
474,Outerwear,42,3.9,Yes,Every 3 Months
475,Clothing,76,2.6,Yes,Quarterly
476,Footwear,66,2.7,Yes,Annually
477,Accessories,90,3.5,Yes,Fortnightly
478,Clothing,56,3.7,Yes,Weekly
479,Accessories,43,3.2,Yes,Annually
480,Accessories,84,3.3,Yes,Monthly
481,Clothing,88,4.8,Yes,Bi-Weekly
482,Accessories,88,3.2,Yes,Fortnightly
483,Accessories,42,2.5,Yes,Annually
484,Clothing,73,3.9,Yes,Weekly
485,Accessories,73,4.7,Yes,Quarterly
486,Footwear,44,2.6,Yes,Fortnightly
487,Footwear,63,2.8,Yes,Every 3 Months
488,Outerwear,68,4.4,Yes,Quarterly
489,Clothing,29,4.6,Yes,Weekly
490,Clothing,85,3.2,Yes,Annually
491,Footwear,42,4.2,Yes,Monthly
492,Outerwear,69,3.7,Yes,Bi-Weekly
493,Clothing,62,3.9,Yes,Weekly
494,Accessories,48,4.7,Yes,Bi-Weekly
495,Footwear,68,4.5,Yes,Weekly
496,Accessories,36,3.3,Yes,Fortnightly
497,Clothing,63,3.3,Yes,Fortnightly
498,Footwear,39,4.6,Yes,Weekly
499,Footwear,78,3.6,Yes,Monthly
500,Footwear,99,4.8,Yes,Monthly
501,Clothing,31,4.8,Yes,Every 3 Months
502,Footwear,45,2.9,Yes,Annually
503,Clothing,30,2.8,Yes,Fortnightly
504,Footwear,24,3.2,Yes,Quarterly
505,Footwear,22,3.9,Yes,Annually
506,Clothing,63,4.3,Yes,Bi-Weekly
507,Accessories,40,2.7,Yes,Annually
508,Clothing,20,5.0,Yes,Fortnightly
509,Accessories,20,3.7,Yes,Quarterly
510,Clothing,80,3.9,Yes,Weekly
511,Clothing,87,3.9,Yes,Annually
512,Clothing,46,3.1,Yes,Annually
513,Accessories,49,3.3,Yes,Monthly
514,Accessories,65,3.6,Yes,Annually
515,Clothing,62,4.3,Yes,Quarterly
516,Accessories,67,4.5,Yes,Monthly
517,Clothing,41,2.8,Yes,Bi-Weekly
518,Footwear,49,2.7,Yes,Every 3 Months
519,Clothing,100,2.9,Yes,Every 3 Months
520,Accessories,54,4.4,Yes,Quarterly
521,Accessories,84,3.9,Yes,Quarterly
522,Clothing,41,3.5,Yes,Annually
523,Accessories,88,2.5,Yes,Quarterly
524,Footwear,40,4.9,Yes,Quarterly
525,Clothing,39,4.8,Yes,Annually
526,Outerwear,37,3.2,Yes,Monthly
527,Clothing,52,4.9,Yes,Monthly
528,Clothing,23,4.3,Yes,Every 3 Months
529,Footwear,88,3.2,Yes,Annually
530,Clothing,84,3.7,Yes,Monthly
531,Outerwear,37,3.2,Yes,Bi-Weekly
532,Footwear,51,3.4,Yes,Weekly
533,Clothing,76,4.1,Yes,Every 3 Months
534,Footwear,60,4.5,Yes,Weekly
535,Accessories,72,4.5,Yes,Quarterly
536,Clothing,45,3.2,Yes,Weekly
537,Outerwear,84,4.4,Yes,Every 3 Months
538,Clothing,49,3.0,Yes,Annually
539,Clothing,22,3.2,Yes,Weekly
540,Outerwear,48,4.0,Yes,Weekly
541,Clothing,37,3.1,Yes,Every 3 Months
542,Outerwear,27,2.8,Yes,Bi-Weekly
543,Footwear,79,4.6,Yes,Bi-Weekly
544,Clothing,98,4.3,Yes,Monthly
545,Footwear,64,3.3,Yes,Every 3 Months
546,Outerwear,32,3.5,Yes,Annually
547,Clothing,74,3.4,Yes,Bi-Weekly
548,Outerwear,50,2.8,Yes,Weekly
549,Accessories,64,4.6,Yes,Every 3 Months
550,Accessories,29,3.6,Yes,Bi-Weekly
551,Accessories,62,3.3,Yes,Weekly
552,Outerwear,78,3.1,Yes,Bi-Weekly
553,Clothing,94,3.5,Yes,Weekly
554,Accessories,59,3.2,Yes,Quarterly
555,Footwear,47,3.0,Yes,Weekly
556,Accessories,57,4.8,Yes,Annually
557,Outerwear,90,5.0,Yes,Fortnightly
558,Clothing,60,2.9,Yes,Weekly
559,Footwear,77,3.2,Yes,Every 3 Months
560,Accessories,41,2.9,Yes,Monthly
561,Accessories,48,3.3,Yes,Annually
562,Outerwear,65,2.6,Yes,Fortnightly
563,Clothing,62,3.5,Yes,Annually
564,Footwear,99,4.4,Yes,Quarterly
565,Clothing,58,3.4,Yes,Weekly
566,Accessories,43,4.2,Yes,Weekly
567,Footwear,93,3.6,Yes,Fortnightly
568,Clothing,50,3.0,Yes,Fortnightly
569,Clothing,88,4.0,Yes,Monthly
570,Clothing,33,4.4,Yes,Every 3 Months
571,Clothing,99,4.1,Yes,Annually
572,Outerwear,76,3.6,Yes,Weekly
573,Accessories,97,4.6,Yes,Annually
574,Clothing,68,3.2,Yes,Bi-Weekly
575,Footwear,79,4.8,Yes,Bi-Weekly
576,Clothing,86,4.8,Yes,Monthly
577,Accessories,68,5.0,Yes,Every 3 Months
578,Clothing,52,3.7,Yes,Annually
579,Footwear,90,4.6,Yes,Fortnightly
580,Footwear,41,3.7,Yes,Annually
581,Clothing,80,4.1,Yes,Weekly
582,Clothing,100,2.7,Yes,Every 3 Months
583,Outerwear,77,4.9,Yes,Quarterly
584,Clothing,78,4.0,Yes,Monthly
585,Clothing,94,4.7,Yes,Monthly
586,Clothing,23,2.8,Yes,Every 3 Months
587,Clothing,20,4.9,Yes,Annually
588,Clothing,86,4.2,Yes,Every 3 Months
589,Footwear,60,3.0,Yes,Quarterly
590,Clothing,70,3.4,Yes,Annually
591,Accessories,39,4.6,Yes,Fortnightly
592,Accessories,37,4.2,Yes,Bi-Weekly
593,Footwear,29,3.2,Yes,Every 3 Months
594,Outerwear,35,4.4,Yes,Every 3 Months
595,Clothing,83,2.5,Yes,Monthly
596,Footwear,77,3.6,Yes,Quarterly
597,Footwear,37,4.5,Yes,Annually
